Tweet_ID;Dialog_ID;Median_Multiclass;Median_Binary;Annot_1_M;Annot_2_M;Annot_3_M;Annot_1_B;Annot_2_B;Annot_3_B;Speaker;Msg
1,51138E+18;0;-1;0;-1;-1;-1;0;0;0;USER;@nowoportugal alô, preciso de internet pelo menos, ajudem me
1,51138E+18;0;0;1;0;0;0;1;1;1;SERVICE;"Olá @Paulozxl lamentamos a situação que nos reporta, mas existe uma anomalia a decorrer em algumas zonas do país.
No entanto, a nossa equipa técnica já se encontra a retificar esta situação.
Estamos ao seu dispor para ajudar.
Obrigado e até breve!"
1,51137E+18;1;-2;0;-1;-2;-2;0;0;0;USER;@nowoportugal Posso terminar o contrato e mudar para outra operadora sem custos? Ja que voces nao tem capacidade de fornecer um servico basico.
1,51138E+18;1;0;1;0;0;0;1;1;1;SERVICE;"Olá @mpnm77 lamentamos a situação que se sinta assim, mas existe uma anomalia a decorrer em algumas zonas do país.
No entanto, a nossa equipa técnica já se encontra a retificar esta situação.
Estamos ao seu dispor para ajudar.
Obrigado e até breve!"
1,51134E+18;2;-1;0;-1;-1;-1;0;0;0;USER;@nowoportugal sem sinal de Nowo, tampoco net
1,51137E+18;2;0;1;0;0;0;1;1;1;SERVICE;"Olá @doradarocha, lamentamos a situação, mas existe uma anomalia a decorrer em algumas zonas do país.
Contamos ser breves a retificar esta situação.
Poderá acompanhar o estado da anomalia através do link https://t.co/SKUW5o6dtT.
Estamos ao seu dispor.
Obrigado e até breve!"
1,51134E+18;3;-1;0;-1;-1;-1;0;0;0;USER;@nowoportugal têm o serviço de net em baixo e eu a precisar de trabalhar, até quando se vai manter a situação?
1,51136E+18;3;0;1;0;0;0;1;1;1;SERVICE;"Olá @pngantunes, lamentamos a situação, mas existe uma anomalia a decorrer em algumas zonas do país.
Contamos ser breves a retificar esta situação.
Poderá acompanhar o estado da anomalia através do link https://t.co/SKUW5o6dtT.
Estamos ao seu dispor.
Obrigado e até breve!"
1,51977E+18;4;0;1;0;1;0;1;1;1;USER;"Hoje é dia de ver o último concerto de Simone de Oliveira na @RTP1 💙
@playrtp depois vão ter o concerto, certo? 👀"
1,51999E+18;4;1;1;0;1;1;1;1;1;SERVICE;"@IuriPereira09 @RTP1 Certo! Aqui está: 

https://t.co/V4YPsGtsJA"
1,51239E+18;5;1;1;1;1;1;1;1;1;USER;.@playrtp por favor, não deixes de existir! (https://t.co/OJngmxOE4M) https://t.co/hDWBLp7o0j
1,51342E+18;5;1;1;1;1;1;1;1;1;SERVICE;@tvazpereira @KratosPRT @RebeloNuno Seus lindos! 💙
1,51288E+18;6;1;1;1;1;1;1;1;1;USER;Depois de dois dias de trash TV e cartoons, comecei e estou quase a acabar de devorar o 1986 do Markl. Tá muito giro. Na altura em que estreou não tinha achado muito graça ao primeiro episódio, mas agora acho que devia estar de mau humor nesse dia.
1,51342E+18;6;1;1;1;1;1;1;1;1;SERVICE;@LeitoraCompuls2 @RitaNobregaGom1 @CarmeSaborido @Playrt Muito amor para vocês! 💙
1,5221E+18;7;0;1;0;0;0;1;1;1;SERVICE;🔴 Rússia anunciou cessar-fogo de três dias em Azovstal para retirar civis https://t.co/hkzpxzpJZV
1,52218E+18;7;-2;0;-1;-2;-2;0;0;0;USER;@RTPNoticias https://t.co/xgL4A1DCKs Publiquem a verdade seus montes de 💩
1,52218E+18;8;0;1;0;0;-1;1;1;0;SERVICE;🔴Rússia continua a bombardear Azovstal apesar de prometer cessar-fogo de três dias https://t.co/hkzpxzpJZV
1,5221E+18;8;0;1;0;0;0;1;1;1;SERVICE;🔴 Rússia anunciou cessar-fogo de três dias em Azovstal para retirar civis https://t.co/hkzpxzpJZV
1,52213E+18;8;-1;0;-1;-1;-1;0;0;0;USER;@RTPNoticias O batalhão azia vai arranjar maneira de continuarem com escudos humanos
1,52174E+18;9;0;1;0;0;0;1;1;1;SERVICE;🔴 Zelensky quer retirar todas as pessoas em Mariupol mesmo com ataques russos https://t.co/NRCXYgsSys
1,52198E+18;9;0;1;0;0;-2;1;1;0;USER;"@RTPNoticias A Rússia tem o direito de se defender contra as ameaças e expansão da NATO. a humanidade tem o direito de resistir e lutar contra o NEONAZISMO ucraniano
#ZelenskyWarCriminal 
#PortugalDeixeNato
#StopNato
#WeStandWithRussia"
1,52183E+18;10;-1;0;-1;0;-1;0;1;0;SERVICE;"🔴 Costa condena ""guerra ilegal, ilegítima e brutal"" em conversação com homólogo ucraniano e vai visitar Kiev
https://t.co/NRCXYgsSys"
1,52138E+18;10;0;1;0;0;0;1;1;1;SERVICE;🔴 Comissão Europeia apresenta hoje novo pacote de sanções contra a Rússia. É já o sexto pacote de medidas com incidência na economia em Moscovo. https://t.co/r1hL6tFfdy
1,52141E+18;10;-2;0;-1;0;-2;0;1;0;USER;@RTPNoticias mais um pacote para foder os europeus ,os russos até se riem destes panascas e lésbicas que governam a Europa
1,52141E+18;11;0;1;0;0;0;1;1;1;SERVICE;🔴Zelensky declara que evacuação de Mariupol vai continuar https://t.co/YT9TOYjh9Y
1,52102E+18;11;-1;0;-1;0;-1;0;1;0;SERVICE;🔴 Oito civis ucranianos mortos em ataques russos nas regiões de Donetsk e Kharkiv https://t.co/qw3ZbHdJRn
1,52115E+18;11;0;1;0;0;0;1;1;1;USER;"@RTPNoticias Moradores da cidade de Melitopol, liberada das garras dos nazistas ucranianos pela RÚSSIA, saíram ontem às ruas para celebrar o 1° de maio com as palavras de ordem ""O fascismo não passará"" e ""A Ucrânia é governada por lacaios dos EUA"" https://t.co/037IM6YY2n"
1,52103E+18;12;0;1;0;0;0;1;1;1;SERVICE;🔴Autoridades ucranianas preveem que retirada de civis de Mariupol continue esta segunda-feira https://t.co/6JLap0c9os
1,51739E+18;12;0;1;0;0;0;1;1;1;SERVICE;🔴Ofensiva russa na Ucrânia. A evolução da guerra ao minuto https://t.co/oWuftK02NH
1,51748E+18;12;0;1;0;0;-2;1;1;0;USER;"@RTPNoticias A Rússia tem o direito de se defender contra as ameaças e expansão da NATO. A humanidade é contra o regime golpista de Zelensky apoiado por neonazistas que baniu e proibiu 11(ONZE) Partidos Opositores
#ZelenskiyWarCriminal
#DesnaziUkraine
#StopNato
#PortugalForaDaNato"
1,5175E+18;12;0;1;0;0;-2;1;1;0;USER;"@RTPNoticias a Federação Russa descobriu Laboratorio de armas biológicas e partogenos mortais, debaixo da Siderúrgica de AVOSTAL, (30 m de profundidade), em Mariupol, q está cercada e c/pessoal dos EUA, OTAN e aliados.
Precisam averiguar se acharam a origem do Coronavírus.
#UsaEvilEmpire"
1,51757E+18;12;0;1;0;0;-2;1;1;0;USER;"@RTPNoticias Não há registros históricos de exércitos de países em guerra que enterraram seus inimigos mortos em combate. Zelensky diz que os russos enterraram milhares em valas. Não é + provável q sejam vítimas dos neonazistas do Batalhão de Azov? Eles é q precisam esconder seus ""rastros""."
1,51758E+18;12;1;1;1;0;1;1;1;1;USER;@RTPNoticias Rússia: moradores de Mariupol podem finalmente se mover sem se esconder de bombardeios neonazistas
1,51739E+18;13;0;1;0;0;0;1;1;1;SERVICE;🔴Ofensiva russa na Ucrânia. A evolução da guerra ao minuto https://t.co/oWuftK02NH
1,51751E+18;13;-2;0;-2;-2;-2;0;0;0;USER;@RTPNoticias GRANDE FILHO DE PUTA
1,51739E+18;14;0;1;0;0;0;1;1;1;SERVICE;🔴Ofensiva russa na Ucrânia. A evolução da guerra ao minuto https://t.co/oWuftK02NH
1,51751E+18;14;0;1;0;0;-1;1;1;0;USER;@RTPNoticias Ucranianos e o mundo em geral, acusam Moscovo de impedir a paz na região!
1,51751E+18;15;0;1;0;0;-1;1;1;0;SERVICE;🔴 Putin acusa Kiev de impedir a rendição de combatentes ucranianos em Mariupol https://t.co/sjSaAKzS4p
1,51739E+18;15;0;1;0;0;0;1;1;1;SERVICE;🔴Ofensiva russa na Ucrânia. A evolução da guerra ao minuto https://t.co/oWuftK02NH
1,51744E+18;15;-1;0;-1;0;-1;0;1;0;USER;@RTPNoticias Mentiras da Rússia
1,51739E+18;16;0;1;0;0;0;1;1;1;SERVICE;🔴Ofensiva russa na Ucrânia. A evolução da guerra ao minuto https://t.co/oWuftK02NH
1,51744E+18;16;-1;0;-1;0;-1;0;1;0;USER;@RTPNoticias Politizar os meios de comunicação social é cada vez mais um risco é uma negação às liberdades individuais. Julgo que a população tem o direito de saber a versão de ambos os lados do conflito, e ser a própria a retirar daí as suas conclusões. https://t.co/kz1My8enyc
1,51703E+18;17;0;1;0;0;0;1;1;1;SERVICE;Ofensiva russa na Ucrânia. A evolução da guerra ao minuto https://t.co/grfxP0yvY2
1,51729E+18;17;-1;0;-1;-1;-1;0;0;0;USER;@RTPNoticias Nao estou a gotar de algumas atitudes
1,51713E+18;18;0;1;0;0;0;1;1;1;SERVICE;"🔴Rússia toma Mariupol e bloqueia siderurgia onde permanecem soldados ucranianos que ""tratará com respeito""https://t.co/PCxp4vOvDa"
1,51703E+18;18;0;1;0;0;0;1;1;1;SERVICE;Ofensiva russa na Ucrânia. A evolução da guerra ao minuto https://t.co/grfxP0yvY2
1,51706E+18;18;0;1;0;0;-1;1;1;0;USER;@RTPNoticias Se cancelaram não foi por motivos humanos. Foi porque os resistentes azov iriam provocar muitas baixas nos russos antes de morrerem
1,5146E+18;19;0;1;0;0;0;1;1;1;SERVICE;🔴Navio de guerra russo ainda não afundou, diz Moscovo https://t.co/qncRF6uKLW
1,51414E+18;19;0;1;-1;0;0;0;1;1;SERVICE;"🔴Joe Biden acusa Vladimir Putin de ""genocídio"" na Ucrânia. A evolução da guerra ao minuto https://t.co/Qesl6OnNBf"
1,51434E+18;19;0;1;0;0;-2;1;1;0;USER;"@RTPNoticias Não permitam isso. Zelensky baniu e proibiu 11 partidos opositores na Ucrânia.  Se aliou é abriga diversos quadros declaradamente neonazistas em seu gov e forças armadas  #ForaZelenslyNazista
#ZelenskyWarCriminal 
#StopNaziZelensky 
#StopNatoNow"
1,51434E+18;19;0;1;0;0;0;1;1;1;USER;@RTPNoticias Mesmo com fome mulher Ucraniana de DOMBASS recusa comida oferecida por nazistas  ucranianos https://t.co/xf3mlc1Hyw
1,51414E+18;20;-1;0;-1;-1;-1;0;0;0;SERVICE;"🔴Joe Biden acusa Vladimir Putin de ""genocídio"" na Ucrânia. A evolução da guerra ao minuto https://t.co/Qesl6OnNBf"
1,51421E+18;20;-1;0;-1;0;-1;0;1;0;USER;"@RTPNoticias @rtppt Ou como virá a ser conhecido: ""PCP 's day off"""
1,51414E+18;21;-1;0;-1;-1;-1;0;0;0;SERVICE;"🔴Joe Biden acusa Vladimir Putin de ""genocídio"" na Ucrânia. A evolução da guerra ao minuto https://t.co/Qesl6OnNBf"
1,51421E+18;21;-1;0;-1;-1;-2;0;0;0;USER;"@RTPNoticias Seria uma tristeza, não fosse o parlamento uma ""casa de meninas"" gerida por Bruxelas...!
Ele que leve o amigo NAZI para discursar também. Como fez na Grécia..."
1,51381E+18;22;0;1;0;0;0;1;1;1;SERVICE;"🔴Putin diz que Rússia alcançará ""objetivos nobres"" na Ucrânia. Zelensky pede à UE sanções ao petróleo russo
https://t.co/UrTNmXgtQF"
